x,y
2016-01,20
2016-02,16
2016-03,18
2016-04,31
2016-05,37
2016-06,39
2016-07,55
2016-08,46
2016-09,33
2016-10,26
2016-11,21
2016-12,19
2017-01,25
2017-02,23
2017-03,28
2017-04,43
2017-05,49
2017-06,61
2017-07,74
2017-08,70
2017-09,47
2017-10,36
2017-11,26
2017-12,26
2018-01,29
2018-02,33
2018-03,41
2018-04,55
2018-05,56
2018-06,63
2018-07,74
2018-08,74
2018-09,53
2018-10,38
2018-11,33
2018-12,32
2019-01,38
2019-02,35
2019-03,41
2019-04,54
2019-05,70
2019-06,79
2019-07,86
2019-08,73
2019-09,58
2019-10,45
2019-11,37
2019-12,34
2020-01,32
2020-02,36
2020-03,33
2020-04,39
2020-05,63
2020-06,84
2020-07,89
2020-08,82
2020-09,61
2020-10,47
2020-11,30
2020-12,30
